,地段,datetime,total_price,unit_price,area,主建物佔比,型態,age,樓別/樓高,交易標的,交易筆棟數,建物現況格局,parking_price,管理組織,電梯,主要用途,備註
3259,30,2019/5/28,55032.2,127.9,430.15,,辦公商業大樓,11~20,二十七層/三十層,房地(土地+建物)+車位,土:1 建:1車:6,,,有,,2,
3260,30,2019/5/28,55367.8,128.7,430.15,,辦公商業大樓,11~20,二十八層/三十層,房地(土地+建物)+車位,土:1 建:1車:6,,,有,,2,
3261,30,2019/5/28,54967.8,132.6,414.39,,辦公商業大樓,11~20,二十八層/三十層,房地(土地+建物)+車位,土:1 建:1車:5,,,有,,2,
3262,30,2019/5/28,54632.2,131.8,414.39,,辦公商業大樓,11~20,二十七層/三十層,房地(土地+建物)+車位,土:1 建:1車:5,,,有,,2,
3263,9,2023/9/18,2000.0,75.5,26.47,100.00%,公寓(5樓含以下無電梯),20+,"二層,露台/四層",房地(土地+建物),土:1 建:1車:0,9,,無,無,0,陽台外推;
3264,9,2023/5/15,1950.0,73.7,26.47,100.00%,公寓(5樓含以下無電梯),20+,"四層,露台/四層",房地(土地+建物),土:1 建:1車:0,127,,無,無,0,頂樓加蓋;
3265,9,2023/12/18,4588.0,206.2,22.25,100.00%,公寓(5樓含以下無電梯),20+,"一層,平台,騎樓/四層",房地(土地+建物),土:1 建:1車:0,20,,無,無,0,其他增建;
3266,9,2023/11/27,1650.0,74.4,22.18,100.00%,公寓(5樓含以下無電梯),20+,"二層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,18,,無,無,0,二等親買賣親友、員工、共有人或其他特殊關係間之交易;
3267,9,2023/8/8,1652.0,83.2,19.85,100.00%,公寓(5樓含以下無電梯),20+,"三層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,27,,無,無,0,陽台外推;其他增建;
3268,9,2023/6/19,1064.0,72.1,14.76,100.00%,公寓(5樓含以下無電梯),20+,"二層,陽台/四層",房地(土地+建物),土:1 建:1車:0,4,,無,無,0,陽台外推;
3269,9,2023/6/19,1236.0,72.1,17.15,100.00%,公寓(5樓含以下無電梯),20+,二層/四層,房地(土地+建物),土:1 建:1車:0,13,,無,無,0,
3270,9,2022/12/12,210.0,78.65168539325843,2.67,,透天厝,20+,全/二層,房地(土地+建物),土:2 建:1車:0,,,無,無,1,市場攤位;
3271,9,2021/8/17,200.0,74.90636704119851,2.67,,透天厝,20+,全/二層,房地(土地+建物),土:2 建:1車:0,,,無,無,1,市場攤位;
3272,9,2021/3/8,190.0,71.16104868913858,2.67,,透天厝,20+,全/二層,房地(土地+建物),土:2 建:1車:0,,,無,無,1,市場攤位;
3273,9,2023/12/23,1850.0,64.6,28.64,88.69%,公寓(5樓含以下無電梯),20+,四層/四層,房地(土地+建物),土:2 建:1車:0,27,,無,無,0,未登記建物;
3274,9,2023/11/26,2200.0,81.6,26.98,93.83%,公寓(5樓含以下無電梯),20+,"一層,騎樓/四層",房地(土地+建物),土:3 建:1車:0,20,,無,無,4,
3275,9,2023/6/24,1870.0,78.0,23.98,100.00%,公寓(5樓含以下無電梯),20+,"四層,陽台/四層",房地(土地+建物),土:1 建:1車:0,11,,無,無,0,頂樓加蓋;
3276,9,2020/11/5,200.0,74.9,2.67,100.00%,公寓(5樓含以下無電梯),20+,"一層,二層,陽臺,平台,騎樓/二層",房地(土地+建物),土:2 建:1車:0,,,無,無,1,市場攤位;
3277,9,2019/9/24,180.0,67.4,2.67,100.00%,公寓(5樓含以下無電梯),20+,"一層,二層,陽臺,平台,騎樓/二層",房地(土地+建物),土:2 建:1車:0,,,無,無,1,市場攤位;
3278,9,2019/8/26,1230.0,71.7,17.15,100.00%,公寓(5樓含以下無電梯),20+,三層/四層,房地(土地+建物),土:1 建:1車:0,27,,無,,0,含增建或未登記建物。;
3279,9,2023/8/29,1000.0,36.2,27.64,75.38%,公寓(5樓含以下無電梯),20+,一層/五層,房地(土地+建物),土:3 建:1車:0,15,,無,無,0,親友、員工、共有人或其他特殊關係間之交易;
