地段,datetime,total_price,unit_price,area,主建物佔比,型態,age,樓別/樓高,交易標的,交易筆棟數,建物現況格局,parking_price,管理組織,電梯,主要用途,備註
永吉路,2019/5/18,1575,102.7,18.85,49.68%,套房(1房(1廳)1衛),1,七層/八層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,175,有,,住家用,
市民大道六段,2019/2/9,1550,90.6,19.74,54.89%,住宅大樓(11層含以上有電梯),,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1衛,175,有,有,住家用,買受人又轉售予第三人預售屋、或土地及建物分件登記案件;
福德街,2023/11/6,3210,71.8,44.79,57.18%,華廈(10層含以下有電梯),12,五層/七層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,180,無,有,住家用,塔式車位無固定樓層。陽台外推;其他增建;
福德街,2023/10/28,3150,70.4,44.79,57.18%,華廈(10層含以下有電梯),12,五層/七層,房地(土地+建物)+車位,土:1 建:1車:1,1房2廳1衛,180,無,有,住家用,陽台外推;
福德街,2019/1/13,2616,57.7,44.79,57.18%,華廈(10層含以下有電梯),7,三層/七層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,180,無,,住家用,含增建或未登記建物。
富陽街,2022/5/24,2100,107.7,28.75,91.34%,住宅大樓(11層含以上有電梯),31,一層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,180,有,有,商業用,
光復南路,2023/5/21,1215,73.6,16.5,35.73%,住宅大樓(11層含以上有電梯),22,八層/十三層,房地(土地+建物)+車位,土:1 建:1車:1,1房2廳1衛,180,有,有,商業用,夾層;
光復南路,2021/12/10,2299.7,91.9,30.23,64.45%,住宅大樓(11層含以上有電梯),21,十一層/十三層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,180,有,有,商業用,
光復南路,2021/6/22,1426,65.4,21.8,42.18%,住宅大樓(11層含以上有電梯),21,六層/十三層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,180,有,有,商業用,
光復南路,2021/4/2,1980,70.5,28.1,45.27%,住宅大樓(11層含以上有電梯),20,六層/十三層,房地(土地+建物)+車位,土:1 建:1車:1,,180,有,有,商業用,陽台外推;
虎林街,2023/7/31,3460,81.9,43.38,65.75%,華廈(10層含以下有電梯),21,二層/四層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳2衛,180,無,有,住家用,陽台外推;
虎林街,2022/1/13,1530,90.3,18.78,68.82%,華廈(10層含以下有電梯),16,三層/八層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,180,有,有,住家用,車位所在樓層:B3陽台外推;夾層;
基隆路,2022/4/5,2468,68.8,38.67,84.13%,住宅大樓(11層含以上有電梯),30,八層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,3房1廳,180,有,有,商業用,
基隆路,2023/12/19,2085,93,26.38,62.68%,住宅大樓(11層含以上有電梯),17,"三層,四層/十三層",房地(土地+建物)+車位,土:2 建:1車:1,1房1廳1衛,180,有,有,住家用,
基隆路,2021/1/23,1386,121.6,15.8,63.73%,住宅大樓(11層含以上有電梯),14,十層/十三層,房地(土地+建物)+車位,土:2 建:1車:1,1房1廳1衛,180,有,有,辦公用,夾層;其他增建;
